Product ,Without VAT Price,VAT,MRP With VAT Price
Black Pepper Powder - 1kg," 2,783.90 ", 501.10 ," 3,285.00 "
Black Pepper Powder - 500g," 1,394.07 ", 250.93 ," 1,645.00 "
Black Pepper Powder - 200g, 563.56 , 101.44 , 665.00 
Black Pepper Powder - 100g, 288.14 , 51.86 , 340.00 
Chilli Flakes - 1kg," 1,364.41 ", 245.59 ," 1,610.00 "
Chilli Flakes - 500g, 686.44 , 123.56 , 810.00 
Chilli Flakes - 200g, 279.66 , 50.34 , 330.00 
Chilli Flakes - 100g, 144.07 , 25.93 , 170.00 
Chilli Powder - 1kg," 1,216.10 ", 218.90 ," 1,435.00 "
Chilli Powder - 500g, 610.17 , 109.83 , 720.00 
Chilli Powder - 200g, 250.00 , 45.00 , 295.00 
Chilli Powder - 100g, 131.36 , 23.64 , 155.00 
Curry Powder - 1kg," 1,457.63 ", 262.37 ," 1,720.00 "
Curry Powder - 500g, 733.05 , 131.95 , 865.00 
Curry Powder - 200g, 300.85 , 54.15 , 355.00 
Curry Powder - 100g, 152.54 , 27.46 , 180.00 
Roasted Curry Powder - 1kg," 1,576.27 ", 283.73 ," 1,860.00 "
Roasted Curry Powder - 500g, 792.37 , 142.63 , 935.00 
Roasted Curry Powder - 200g, 322.03 , 57.97 , 380.00 
Roasted Curry Powder - 100g, 169.49 , 30.51 , 200.00 
Turmeric Powder - 1kg," 3,444.92 ", 620.08 ," 4,065.00 "
Turmeric Powder - 500g," 1,728.81 ", 311.19 ," 2,040.00 "
Turmeric Powder - 200g, 694.92 , 125.08 , 820.00 
Turmeric Powder - 100g, 355.93 , 64.07 , 420.00 
